NonApple,Apple
brow_outer_down_left,eyeBlinkLeft
brow_outer_down_right,eyeBlinkRight
brow_mid_down_left,browDownLeft
brow_mid_down_right,browDownRight
brow_outer_up_left,browOuterUpLeft
brow_outer_up_right,browOuterUpRight
mouth_down_left,mouthFrownLeft
mouth_down_right,mouthFrownRight
mouth_open,jawOpen
mouth_down_left,jawLeft
mouth_down_right,jawRight
filler,mouthClose
mouth_corner_down_left,mouthLowerDownLeft
mouth_corner_down_right,mouthLowerDownRight
filler,noseSneerLeft
filler,noseSneerRight
mouth_corner_in_left,mouthLeft
mouth_corner_in_right,mouthRight
lips_mid_lower_up_left,mouthUpperUpLeft
lips_mid_lower_up_right,mouthUpperUpRight
filler,mouthRollUpper
filler,mouthRollLower
filler,mouthRight
filler,mouthLeft
filler,eyeWideLeft
filler,eyeWideRight
filler,eyeBlinkSquintRight
filler,eyeBlinkSquintLeft
brow_sqeeze,browInnerUp
mouth_narrow_left/mouth_narrow_right,mouthPucker
cheek_balloon_left/cheek_balloon_right,cheekPuff
