NonApple,Apple
Eye_Blink_L,eyeBlinkLeft
Eye_Blink_R,eyeBlinkRight
Brow_Drop_L,browDownLeft
Brow_Drop_R,browDownRight
Brow_Raise_Outer_L,browOuterUpLeft
Brow_Raise_Outer_R,browOuterUpRight
Mouth_Frown_L,mouthFrownLeft
Mouth_Frown_R,mouthFrownRight
Merged_Open_Mouth,jawOpen
filler,jawLeft
filler,jawRight
Mouth_Lips_Tight,mouthClose
Mouth_Snarl_Lower_L,mouthLowerDownLeft
Mouth_Snarl_Lower_R,mouthLowerDownRight
Nose_Flank_Raise_L,noseSneerLeft
Nose_Flank_Raise_R,noseSneerRight
Mouth_L ,mouthLeft
Mouth_R,mouthRight
Mouth_Snarl_Upper_L,mouthUpperUpLeft
Mouth_Snarl_Upper_R,mouthUpperUpRight
Mouth_Top_Lip_Up,mouthRollUpper
Mouth_Bottom_Lip_Under,mouthRollLower
Mouth_R,mouthRight
Mouth_L,mouthLeft
Eye_Wide_L,eyeWideLeft
Eye_Wide_R,eyeWideRight
Eye_Squint_R,eyeBlinkSquintRight
Eye_Squint_L,eyeBlinkSquintLeft
Mouth_Dimple_L,mouthDimpleLeft
Mouth_Dimple_R,mouthDimpleRight
